Instance Type,vCPU,Memory (GiB),Storage(GB),Network Performance,Physical Processor,Clock Speed (GHz),Intel AVX,Intel AVX2,Intel Turbo,EBS OPT,Enhanced Networking
t2.nano,1,0.5,EBS Only,Low,Intel Xeon family,up to 3.3,Yes,-,Yes,-,-
t2.micro,1,1,EBS Only,Low to Moderate,Intel Xeon family,Up to 3.3,Yes,-,Yes,-,-
t2.small,1,2,EBS Only,Low to Moderate,Intel Xeon family,Up to 3.3,Yes,-,Yes,-,-
t2.medium,2,4,EBS Only,Low to Moderate,Intel Xeon family,Up to 3.3,Yes,-,Yes,-,-
t2.large,2,8,EBS Only,Low to Moderate,Intel Xeon family,Up to 3.0,Yes,-,Yes,-,-
t2.xlarge,4,16,EBS Only,Moderate,Intel Xeon family,Up to 3.0,Yes,-,Yes,-,-
t2.2xlarge,8,32,EBS Only,Moderate,Intel Xeon family,Up to 3.0,Yes,-,Yes,-,-
m4.large,2,8,EBS Only,Moderate,Intel Xeon E5-2676 v3**,2.4,Yes,Yes,Yes,Yes,Yes
m4.xlarge,4,16,EBS Only,High,Intel Xeon E5-2676 v3**,2.4,Yes,Yes,Yes,Yes,Yes
m4.2xlarge,8,32,EBS Only,High,Intel Xeon E5-2676 v3**,2.4,Yes,Yes,Yes,Yes,Yes
m4.4xlarge,16,64,EBS Only,High,Intel Xeon E5-2676 v3**,2.4,Yes,Yes,Yes,Yes,Yes
m4.10xlarge,40,160,EBS Only,10 Gigabit,Intel Xeon E5-2676 v3,2.4,Yes,Yes,Yes,Yes,Yes
m4.16xlarge,64,256,EBS Only,20 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
m3.medium,1,3.75,1 x 4 SSD,Moderate,Intel Xeon E5-2670 v2*,2.5,Yes,-,Yes,-,-
m3.large,2,7.5,1 x 32 SSD,Moderate,Intel Xeon E5-2670 v2*,2.5,Yes,-,Yes,-,-
m3.xlarge,4,15,2 x 40 SSD,High,Intel Xeon E5-2670 v2*,2.5,Yes,-,Yes,Yes,-
m3.2xlarge,8,30,2 x 80 SSD,High,Intel Xeon E5-2670 v2*,2.5,Yes,-,Yes,Yes,-
c4.large,2,3.75,EBS Only,Moderate,Intel Xeon E5-2666 v3,2.9,Yes,Yes,Yes,Yes,Yes
c4.xlarge,4,7.5,EBS Only,High,Intel Xeon E5-2666 v3,2.9,Yes,Yes,Yes,Yes,Yes
c4.2xlarge,8,15,EBS Only,High,Intel Xeon E5-2666 v3,2.9,Yes,Yes,Yes,Yes,Yes
c4.4xlarge,16,30,EBS Only,High,Intel Xeon E5-2666 v3,2.9,Yes,Yes,Yes,Yes,Yes
c4.8xlarge,36,60,EBS Only,10 Gigabit,Intel Xeon E5-2666 v3,2.9,Yes,Yes,Yes,Yes,Yes
c3.large,2,3.75,2 x 16 SSD,Moderate,Intel Xeon E5-2680 v2,2.8,Yes,-,Yes,-,Yes
c3.xlarge,4,7.5,2 x 40 SSD,Moderate,Intel Xeon E5-2680 v2,2.8,Yes,-,Yes,Yes,Yes
c3.2xlarge,8,15,2 x 80 SSD,High,Intel Xeon E5-2680 v2,2.8,Yes,-,Yes,Yes,Yes
c3.4xlarge,16,30,2 x 160 SSD,High,Intel Xeon E5-2680 v2,2.8,Yes,-,Yes,Yes,Yes
c3.8xlarge,32,60,2 x 320 SSD,10 Gigabit,Intel Xeon E5-2680 v2,2.8,Yes,-,Yes,-,Yes
p2.xlarge,4,61,EBS Only,High,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
p2.8xlarge,32,488,EBS Only,10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
p2.16xlarge,64,732,EBS Only,20 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
g2.2xlarge,8,15,1 x 60 SSD,High,Intel Xeon E5-2670,2.6,Yes,-,Yes,Yes,-
g2.8xlarge,32,60,2 x 120 SSD,High,Intel Xeon E5-2670,2.6,Yes,-,Yes,-,-
x1.16large,64,976,"1 x 1,920 SSD",10 Gigabit,Intel Xeon E7-8880 v3,2.3,Yes,Yes,Yes,Yes,Yes
x1.32xlarge,128,"1,952","2 x 1,920 SSD",20 Gigabit,Intel Xeon E7-8880 v3,2.3,Yes,Yes,Yes,Yes,Yes
r4.large,2,15.25,-,Up to 10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
r4.xlarge,4,30.5,-,Up to 10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
r4.2xlarge,8,61,-,Up to 10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
r4.4xlarge,16,122,-,Up to 10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
r4.8xlarge,32,244,-,10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
r4.16xlarge,64,488,-,20 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
r3.large,2,15.25,1 x 32 SSD,Moderate,Intel Xeon E5-2670 v2,2.5,Yes,-,Yes,-,Yes
r3.xlarge,4,30.5,1 x 80 SSD,Moderate,Intel Xeon E5-2670 v2,2.5,Yes,-,Yes,Yes,Yes
r3.2xlarge,8,61,1 x 160 SSD,High,Intel Xeon E5-2670 v2,2.5,Yes,-,Yes,Yes,Yes
r3.4xlarge,16,122,1 x 320 SSD,High,Intel Xeon E5-2670 v2,2.5,Yes,-,Yes,Yes,Yes
r3.8xlarge,32,244,2 x 320 SSD,10 Gigabit,Intel Xeon E5-2670 v2,2.5,Yes,-,Yes,-,Yes
i3.large,2,15.25,1 x 475 NVMe SSD,Up to 10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
i3.xlarge,4,30.5,1 x 950 NVMe SSD,Up to 10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
i3.2xlarge,8,61,"1 x 1,900 NVMe SSD",Up to 10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
i3.4xlarge,16,122,"2 x 1,900 NVMe SSD",Up to 10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
i3.8xlarge,32,244,"4 x 1,900 NVMe SSD",10 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
i3.16large,64,488,"8 x 1,900 NVMe SSD",20 Gigabit,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
d2.xlarge,4,30.5,3 x 2000,Moderate,Intel Xeon E5-2676 v3,2.4,Yes,Yes,Yes,Yes,Yes
d2.2xlarge,8,61,6 x 2000,High,Intel Xeon E5-2676 v3,2.4,Yes,Yes,Yes,Yes,Yes
d2.4xlarge,16,122,12 x 2000,High,Intel Xeon E5-2676 v3,2.4,Yes,Yes,Yes,Yes,Yes
d2.8xlarge,36,244,24 x 2000,10 Gigabit,Intel Xeon E5-2676 v3,2.4,Yes,Yes,Yes,Yes,Yes
f1.2xlarge,8,122,480 SSD,High,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes
f1.16xlarge,64,976,4 x 960,High,Intel Xeon E5-2686 v4,2.3,Yes,Yes,Yes,Yes,Yes